Sample_ID,District,Agro_Zone,Season,Soil_pH,Total_N_percent,Available_P_mgkg,Available_K_mgkg,Organic_Carbon_percent,Rainfall_30d_mm,Temperature_mean_C,Recommended_N_kg_ha,Recommended_P2O5_kg_ha,Recommended_K2O_kg_ha,Urea_kg_ha,TSP_kg_ha,MOP_kg_ha
1,Matara,Wet,Yala,5.54,0.197,6.6,109.6,,284.6,26.9,100,60,20,213.3,127.9,34.4
2,Anuradhapura,Dry,Maha,6.87,0.059,8.9,67.5,0.98,198.9,30.6,130,60,40,301.7,127.1,63.5
3,Ratnapura,Wet,Maha,5.1,0.145,6.3,75.8,2.61,306.4,26.1,120,60,40,270,124.1,65.2
4,Galle,Wet,Yala,5.77,0.084,9.3,125,2.59,272.4,25.3,130,60,20,286.8,132.5,34.1
5,Vavuniya,Dry,Yala,6.09,0.114,5.9,74.7,1.13,59.5,29.2,120,60,40,247.4,129.9,66.5
6,Kilinochchi,Dry,Yala,6.12,0.067,13.9,115.5,0.93,69.9,29.5,130,40,20,268,91.8,34.5
7,Mullaitivu,Dry,Maha,6.13,0.128,13.7,60,0.91,297.4,29.4,120,40,40,243.6,80.9,71.3
8,Kurunegala,Intermediate,Yala,6.18,0.096,17.4,98.2,1.12,151.4,28.2,130,20,40,298.1,44.4,62.9
9,Kandy,Wet,Maha,5.13,0.144,11.1,105.9,2.52,317.2,26.7,120,40,20,264.9,90.4,34.3
10,Puttalam,Dry,Yala,6.85,0.136,5.8,101.1,1.34,35.5,28.2,120,60,20,269,135.5,32
11,Anuradhapura,Dry,Maha,5.69,0.134,11.3,97.9,1.39,,27.1,120,40,40,242.1,92,65.8
12,Monaragala,Intermediate,Yala,5.45,0.108,15.4,75.5,1.15,183.2,28.8,120,20,40,279.3,45,62
13,Polonnaruwa,Dry,Yala,7.35,0.156,8.6,43.5,,51.9,28.5,100,60,60,228.2,138.8,94.5
