"District","Fertilizer","Mean_Rate_kg_ha"
"Ampara","Urea_kg_ha",251.39387254902
"Ampara","TSP_kg_ha",108.613480392157
"Ampara","MOP_kg_ha",67.8811274509804
"Anuradhapura","Urea_kg_ha",252.674939172749
"Anuradhapura","TSP_kg_ha",108.784671532847
"Anuradhapura","MOP_kg_ha",67.039902676399
"Badulla","Urea_kg_ha",255.504773869347
"Badulla","TSP_kg_ha",84.0781407035176
"Badulla","MOP_kg_ha",57.7972361809045
"Batticaloa","Urea_kg_ha",251.696690307329
"Batticaloa","TSP_kg_ha",108.104964539007
"Batticaloa","MOP_kg_ha",66.3498817966903
"Colombo","Urea_kg_ha",254.232857142857
"Colombo","TSP_kg_ha",116.824761904762
"Colombo","MOP_kg_ha",47.8902380952381
"Galle","Urea_kg_ha",252.204347826087
"Galle","TSP_kg_ha",116.432225063939
"Galle","MOP_kg_ha",46.9892583120205
"Gampaha","Urea_kg_ha",250.730706521739
"Gampaha","TSP_kg_ha",117.481793478261
"Gampaha","MOP_kg_ha",48.8638586956522
"Hambantota","Urea_kg_ha",253.42196969697
"Hambantota","TSP_kg_ha",107.214646464646
"Hambantota","MOP_kg_ha",67.1666666666667
"Jaffna","Urea_kg_ha",251.881989247312
"Jaffna","TSP_kg_ha",105.95376344086
"Jaffna","MOP_kg_ha",66.7067204301075
"Kalutara","Urea_kg_ha",252.126822916667
"Kalutara","TSP_kg_ha",118.336197916667
"Kalutara","MOP_kg_ha",47.14765625
"Kandy","Urea_kg_ha",251.965508684864
"Kandy","TSP_kg_ha",117.500248138958
"Kandy","MOP_kg_ha",46.741935483871
"Kegalle","Urea_kg_ha",254.131139240506
"Kegalle","TSP_kg_ha",88.4060759493671
"Kegalle","MOP_kg_ha",59.7782278481013
"Kilinochchi","Urea_kg_ha",255.157920792079
"Kilinochchi","TSP_kg_ha",106.538613861386
"Kilinochchi","MOP_kg_ha",65.4680693069307
"Kurunegala","Urea_kg_ha",255.855474452555
"Kurunegala","TSP_kg_ha",87.5024330900243
"Kurunegala","MOP_kg_ha",59.8883211678832
"Mannar","Urea_kg_ha",255.451697127937
"Mannar","TSP_kg_ha",107.772323759791
"Mannar","MOP_kg_ha",67.8955613577023
"Matale","Urea_kg_ha",255.268831168831
"Matale","TSP_kg_ha",86.5924675324675
"Matale","MOP_kg_ha",56.1371428571429
"Matara","Urea_kg_ha",253.43725
"Matara","TSP_kg_ha",118.39725
"Matara","MOP_kg_ha",48.8625
"Monaragala","Urea_kg_ha",252.200486618005
"Monaragala","TSP_kg_ha",87.3839416058394
"Monaragala","MOP_kg_ha",59.5077858880779
"Mullaitivu","Urea_kg_ha",254.914814814815
"Mullaitivu","TSP_kg_ha",108.783209876543
"Mullaitivu","MOP_kg_ha",65.6738271604938
"Nuwara Eliya","Urea_kg_ha",252.575
"Nuwara Eliya","TSP_kg_ha",117.036029411765
"Nuwara Eliya","MOP_kg_ha",46.8294117647059
"Polonnaruwa","Urea_kg_ha",252.730622009569
"Polonnaruwa","TSP_kg_ha",108.552392344498
"Polonnaruwa","MOP_kg_ha",66.2296650717703
"Puttalam","Urea_kg_ha",255.120812182741
"Puttalam","TSP_kg_ha",108.530964467005
"Puttalam","MOP_kg_ha",64.7895939086294
"Ratnapura","Urea_kg_ha",255.323325062035
"Ratnapura","TSP_kg_ha",116.598263027295
"Ratnapura","MOP_kg_ha",48.2114143920596
"Trincomalee","Urea_kg_ha",252.682673267327
"Trincomalee","TSP_kg_ha",110.170544554455
"Trincomalee","MOP_kg_ha",66.9831683168317
"Vavuniya","Urea_kg_ha",250.961728395062
"Vavuniya","TSP_kg_ha",108.943703703704
"Vavuniya","MOP_kg_ha",67.0325925925926
