"Analysis","Status"
"Dataset structure","Completed"
"Duplicate check","Completed"
"Missing-value analysis","Completed"
"naniar missingness visualization","Completed"
"IQR outlier detection","Completed"
"Boxplot analysis","Completed"
"Distribution analysis","Completed"
"Pearson correlation matrix","Completed"
"corrplot visualization","Completed"
"Agro-ecological zone breakdown","Completed"
"District breakdown","Completed"
"Seasonal breakdown","Completed"
"Agro-zone × season breakdown","Completed"
"Initial automated insights","Completed"
