"Variable","Q1","Q3","IQR","Lower_Fence","Upper_Fence","Valid_Observations","Outlier_Count","Outlier_Percentage"
"Soil_pH",5.5,6.58,1.08,3.88,8.2,9486,0,0
"Total_N_percent",0.087,0.162,0.075,-0.0255,0.2745,9507,0,0
"Available_P_mgkg",7.4,12,4.6,0.500000000000001,18.9,9482,140,1.47648175490403
"Available_K_mgkg",68.8,110.3,41.5,6.55,172.55,9519,0,0
"Organic_Carbon_percent",1.02,1.91,0.89,-0.315,3.245,9522,0,0
"Rainfall_30d_mm",105.7,266.9,161.2,-136.1,508.7,9489,0,0
"Temperature_mean_C",26.7,29.6,2.9,22.35,33.95,9507,0,0
"Recommended_N_kg_ha",100,130,30,55,175,10000,0,0
"Recommended_P2O5_kg_ha",40,60,20,10,90,10000,0,0
"Recommended_K2O_kg_ha",20,40,20,-10,70,10000,0,0
"Urea_kg_ha",225.175,276.1,50.925,148.7875,352.4875,10000,0,0
"TSP_kg_ha",86.4,130.9,44.5,19.65,197.65,10000,0,0
"MOP_kg_ha",34.1,69.5,35.4,-19,122.6,10000,0,0
