"","Soil_pH","Total_N_percent","Available_P_mgkg","Available_K_mgkg","Organic_Carbon_percent","Rainfall_30d_mm","Temperature_mean_C","Recommended_N_kg_ha","Recommended_P2O5_kg_ha","Recommended_K2O_kg_ha","Urea_kg_ha","TSP_kg_ha","MOP_kg_ha"
"Soil_pH",1,-0.0011978270302643,0.141305786728472,-0.313622335179648,-0.614756849320743,-0.513295521566996,0.556116707671538,0.00146307373472811,-0.109111355107378,0.260880899369055,-0.00082432983378516,-0.107477527697434,0.258746302564965
"Total_N_percent",-0.0011978270302643,1,-0.0137995750679212,0.0131646460898127,0.0151186189978093,0.00677758799222066,-0.0204992729409585,-0.926385597127528,0.0162532819960234,-0.00608589643940655,-0.861049410104522,0.0150774482646043,-0.00820910436638432
"Available_P_mgkg",0.141305786728472,-0.0137995750679212,1,-0.0983890808002865,-0.162196152782037,-0.17541800978535,0.140608468216361,0.0190341369480021,-0.900150437085348,0.0828869278581352,0.0173496224216657,-0.887133293437038,0.0816445797174909
"Available_K_mgkg",-0.313622335179648,0.0131646460898127,-0.0983890808002865,1,0.357381616780326,0.288815114826591,-0.323162607761619,-0.00858173581819733,0.0736046052177574,-0.898399766447102,-0.00652878890660107,0.0716958688378319,-0.89210560546389
"Organic_Carbon_percent",-0.614756849320743,0.0151186189978093,-0.162196152782037,0.357381616780326,1,0.60796380713796,-0.645150553831403,-0.014911447447922,0.125248988430162,-0.308832591348483,-0.0109697886295353,0.123495524158052,-0.306802112104313
"Rainfall_30d_mm",-0.513295521566996,0.00677758799222066,-0.17541800978535,0.288815114826591,0.60796380713796,1,-0.527077877706392,-0.00817829232747667,0.14089819948232,-0.245983841340284,-0.00750757575029474,0.138094385937589,-0.243222545676621
"Temperature_mean_C",0.556116707671538,-0.0204992729409585,0.140608468216361,-0.323162607761619,-0.645150553831403,-0.527077877706392,1,0.018244594437005,-0.111709675912029,0.278657174138655,0.0184429737858884,-0.110423061964361,0.275654161204353
"Recommended_N_kg_ha",0.00146307373472811,-0.926385597127528,0.0190341369480021,-0.00858173581819733,-0.014911447447922,-0.00817829232747667,0.018244594437005,1,-0.020388351218121,0.00370445098623156,0.926766170733894,-0.0191976290163444,0.00488223670075177
"Recommended_P2O5_kg_ha",-0.109111355107378,0.0162532819960234,-0.900150437085348,0.0736046052177574,0.125248988430162,0.14089819948232,-0.111709675912029,-0.020388351218121,1,-0.0617564944996529,-0.0181910665843884,0.984868484418543,-0.0608526989945723
"Recommended_K2O_kg_ha",0.260880899369055,-0.00608589643940655,0.0828869278581352,-0.898399766447102,-0.308832591348483,-0.245983841340284,0.278657174138655,0.00370445098623156,-0.0617564944996529,1,-0.000295664616488812,-0.0611999482899731,0.992952903280269
"Urea_kg_ha",-0.00082432983378516,-0.861049410104522,0.0173496224216657,-0.00652878890660107,-0.0109697886295353,-0.00750757575029474,0.0184429737858884,0.926766170733894,-0.0181910665843884,-0.000295664616488812,1,-0.0172120712635748,0.000399091300364979
"TSP_kg_ha",-0.107477527697434,0.0150774482646043,-0.887133293437038,0.0716958688378319,0.123495524158052,0.138094385937589,-0.110423061964361,-0.0191976290163444,0.984868484418543,-0.0611999482899731,-0.0172120712635748,1,-0.0607328977086314
"MOP_kg_ha",0.258746302564965,-0.00820910436638432,0.0816445797174909,-0.89210560546389,-0.306802112104313,-0.243222545676621,0.275654161204353,0.00488223670075177,-0.0608526989945723,0.992952903280269,0.000399091300364979,-0.0607328977086314,1
