"Variable","N","Missing","Mean","Median","SD","Minimum","Q1","Q3","Maximum"
"Available_K_mgkg",9519,481,90.0100535770564,89.6,26.3944084220913,40,68.8,110.3,150
"Available_P_mgkg",9482,518,10.046656823455,9.7,3.32472715816296,5,7.4,12,20
"MOP_kg_ha",10000,0,58.99905,64.3,23.0650925414768,30.8,34.1,69.5,107.5
"Organic_Carbon_percent",9522,478,1.50069628229364,1.38,0.642404523206881,0.5,1.02,1.91,3
"Rainfall_30d_mm",9489,511,195.416071240384,203.6,100.930015887206,20.1,105.7,266.9,399.9
"Recommended_K2O_kg_ha",10000,0,35.398,40,13.7317315749031,20,20,40,60
"Recommended_N_kg_ha",10000,0,116.635,120,12.4700571463211,100,100,130,130
"Recommended_P2O5_kg_ha",10000,0,49.1,60,12.5030249365221,20,40,60,60
"Soil_pH",9486,514,6.00517077798861,5.93,0.750609091862383,4.5,5.5,6.58,7.5
"TSP_kg_ha",10000,0,106.80848,121.6,27.5561722369497,40.3,86.4,130.9,140.2
"Temperature_mean_C",9507,493,28.0832544440938,27.9,2.01720232203576,24,26.7,29.6,32
"Total_N_percent",9507,493,0.124542863153466,0.124,0.0433441321233823,0.05,0.087,0.162,0.2
"Urea_kg_ha",10000,0,253.3486,259.7,29.2992788104739,201.1,225.175,276.1,303.8
