"Variable","Data_Type","Missing_Count","Missing_Percent","Unique_Values"
"Sample_ID","integer",0,0,10000
"District","character",0,0,25
"Agro_Zone","character",0,0,3
"Season","character",0,0,2
"Soil_pH","numeric",514,5.14,302
"Total_N_percent","numeric",493,4.93,152
"Available_P_mgkg","numeric",518,5.18,152
"Available_K_mgkg","numeric",481,4.81,1094
"Organic_Carbon_percent","numeric",478,4.78,252
"Rainfall_30d_mm","numeric",511,5.11,3350
"Temperature_mean_C","numeric",493,4.93,82
"Recommended_N_kg_ha","integer",0,0,3
"Recommended_P2O5_kg_ha","integer",0,0,3
"Recommended_K2O_kg_ha","integer",0,0,3
"Urea_kg_ha","numeric",0,0,953
"TSP_kg_ha","numeric",0,0,394
"MOP_kg_ha","numeric",0,0,303
