target,model,term,coefficient
Urea_kg_ha,Ridge,(Intercept),323.3370457828914
Urea_kg_ha,Ridge,DistrictAnuradhapura,0.39434337929255997
Urea_kg_ha,Ridge,DistrictBadulla,-0.31935332681486517
Urea_kg_ha,Ridge,DistrictBatticaloa,1.9271972441123428
Urea_kg_ha,Ridge,DistrictColombo,0.10035222472275199
Urea_kg_ha,Ridge,DistrictGalle,-0.6687495166307229
Urea_kg_ha,Ridge,DistrictGampaha,-0.8506679133061624
Urea_kg_ha,Ridge,DistrictHambantota,-0.41558350567445146
Urea_kg_ha,Ridge,DistrictJaffna,0.5061896156773789
Urea_kg_ha,Ridge,DistrictKalutara,0.37765418975041753
Urea_kg_ha,Ridge,DistrictKandy,-0.5593754111250051
Urea_kg_ha,Ridge,DistrictKegalle,0.7567363981193899
Urea_kg_ha,Ridge,DistrictKilinochchi,-0.17095356535594
Urea_kg_ha,Ridge,DistrictKurunegala,0.958605443551216
Urea_kg_ha,Ridge,DistrictMannar,1.184325020786502
Urea_kg_ha,Ridge,DistrictMatale,0.30655144708960874
Urea_kg_ha,Ridge,DistrictMatara,0.9381665539153403
Urea_kg_ha,Ridge,DistrictMonaragala,-1.670487729849424
Urea_kg_ha,Ridge,DistrictMullaitivu,2.1661467197996864
Urea_kg_ha,Ridge,DistrictNuwara Eliya,-0.39704111020344374
Urea_kg_ha,Ridge,DistrictPolonnaruwa,-0.23216514780260264
Urea_kg_ha,Ridge,DistrictPuttalam,-1.0742359606627003
Urea_kg_ha,Ridge,DistrictRatnapura,0.5905078751899053
Urea_kg_ha,Ridge,DistrictTrincomalee,0.5588513851809462
Urea_kg_ha,Ridge,DistrictVavuniya,-1.5181181229809433
Urea_kg_ha,Ridge,Agro_ZoneIntermediate,0.003572972723223328
Urea_kg_ha,Ridge,Agro_ZoneWet,-0.044591500284347385
Urea_kg_ha,Ridge,SeasonYala,0.012895032477439202
Urea_kg_ha,Ridge,Soil_pH,-0.40508946236563576
Urea_kg_ha,Ridge,Total_N_percent,-538.3749110747945
Urea_kg_ha,Ridge,Available_P_mgkg,0.009130211056864974
Urea_kg_ha,Ridge,Available_K_mgkg,0.0012468131069676776
Urea_kg_ha,Ridge,Organic_Carbon_percent,-0.042344378553590425
Urea_kg_ha,Ridge,Rainfall_30d_mm,-0.002251277682022561
Urea_kg_ha,Ridge,Temperature_mean_C,-0.009527730396213702
Urea_kg_ha,LASSO,(Intercept),325.37960607183015
Urea_kg_ha,LASSO,DistrictAnuradhapura,0
Urea_kg_ha,LASSO,DistrictBadulla,0
Urea_kg_ha,LASSO,DistrictBatticaloa,0.6780182598300951
Urea_kg_ha,LASSO,DistrictColombo,0
Urea_kg_ha,LASSO,DistrictGalle,0
Urea_kg_ha,LASSO,DistrictGampaha,0
Urea_kg_ha,LASSO,DistrictHambantota,0
Urea_kg_ha,LASSO,DistrictJaffna,0
Urea_kg_ha,LASSO,DistrictKalutara,0
Urea_kg_ha,LASSO,DistrictKandy,0
Urea_kg_ha,LASSO,DistrictKegalle,0
Urea_kg_ha,LASSO,DistrictKilinochchi,0
Urea_kg_ha,LASSO,DistrictKurunegala,0
Urea_kg_ha,LASSO,DistrictMannar,0
Urea_kg_ha,LASSO,DistrictMatale,0
Urea_kg_ha,LASSO,DistrictMatara,0
Urea_kg_ha,LASSO,DistrictMonaragala,-0.3453160215138848
