Treatment_Effect,Design,Power,Simulations,Alpha
0,CRD,0,1000,0.05
0,RCBD,0.042,1000,0.05
2,CRD,0,1000,0.05
2,RCBD,0.054,1000,0.05
4,CRD,0.001,1000,0.05
4,RCBD,0.092,1000,0.05
6,CRD,0.004,1000,0.05
6,RCBD,0.131,1000,0.05
8,CRD,0.003,1000,0.05
8,RCBD,0.237,1000,0.05
10,CRD,0.015,1000,0.05
10,RCBD,0.342,1000,0.05
12,CRD,0.051,1000,0.05
12,RCBD,0.487,1000,0.05
14,CRD,0.094,1000,0.05
14,RCBD,0.678,1000,0.05
16,CRD,0.169,1000,0.05
16,RCBD,0.779,1000,0.05
18,CRD,0.275,1000,0.05
18,RCBD,0.867,1000,0.05
20,CRD,0.423,1000,0.05
20,RCBD,0.938,1000,0.05
