Block,Treatment,Random_Order,Plot,Treatment_Effect,Block_Effect,Error,Yield
B1,Medium,1,1,8,-15,4.392773885084337,97.39277388508434
B1,High,2,2,12,-15,1.9057033663523446,98.90570336635234
B1,Control,3,3,0,-15,-8.391145148692324,76.60885485130768
B1,Low,4,4,4,-15,10.35810603667326,99.35810603667326
B2,High,1,1,12,-8,6.604318750994672,110.60431875099468
B2,Low,2,2,4,-8,-0.44548809376049436,95.55451190623951
B2,Control,3,3,0,-8,-6.275057740705446,85.72494225929455
B2,Medium,4,4,8,-8,-5.868025780731938,94.13197421926806
B3,Low,1,1,4,-3,-1.7269231523736321,99.27307684762637
B3,Medium,2,2,8,-3,-2.6793020617068803,102.32069793829312
B3,Control,3,3,0,-3,-8.685593082423466,88.31440691757653
B3,High,4,4,12,-3,-0.6833861154732015,108.3166138845268
B4,Low,1,1,4,4,8.564884306171438,116.56488430617144
B4,Control,2,2,0,4,-1.163148407941671,102.83685159205832
B4,High,3,3,12,4,-9.324358783119628,106.67564121688036
B4,Medium,4,4,8,4,-6.548125780105033,105.45187421989496
B5,Low,1,1,4,9,5.479488623400504,118.4794886234005
B5,High,2,2,12,9,-2.5604513542145515,118.43954864578545
B5,Medium,3,3,8,9,-10.492179291174095,106.5078207088259
B5,Control,4,4,0,9,-4.796866623551849,104.20313337644815
B6,Control,1,1,0,13,-1.0352855120573952,111.9647144879426
B6,High,2,2,12,13,7.093889176030556,132.09388917603056
B6,Medium,3,3,8,13,-1.2111676986862503,119.78883230131375
B6,Low,4,4,4,13,2.6383296060618733,119.63832960606187
