Variable,Principal_Component,Loading,Absolute_Loading,Squared_Loading,Loading_Rank
Organic_Carbon_percent,PC1,0.49616584008212355,0.49616584008212355,0.24618054086439942,1
mean_temperature_C,PC1,-0.46839533948872386,0.46839533948872386,0.21939419405475688,2
Soil_pH,PC1,-0.45826308245384384,0.45826308245384384,0.21000505274009848,3
30day_cumulative_rainfall_mm,PC1,0.44866937127531137,0.44866937127531137,0.2013042047205832,4
Available_K_mgkg,PC1,0.3091684667509133,0.3091684667509133,0.0955851408331106,5
Available_P_mgkg,PC1,-0.16528934974894358,0.16528934974894358,0.027320569140428595,6
Total_N_percent,PC1,0.01450164289391955,0.01450164289391955,2.1029764662276737e-4,7
Total_N_percent,PC2,-0.9951141691614764,0.9951141691614764,0.9902522096659355,1
Available_P_mgkg,PC2,0.07546311432275875,0.07546311432275875,0.005694681623289757,2
Available_K_mgkg,PC2,-0.04328089502205936,0.04328089502205936,0.0018732358739105227,3
Soil_pH,PC2,-0.030973426722307407,0.030973426722307407,9.593531629221465e-4,4
30day_cumulative_rainfall_mm,PC2,0.028949894045383045,0.028949894045383045,8.380963652389046e-4,5
Organic_Carbon_percent,PC2,0.016503984041405583,0.016503984041405583,2.7238148923897017e-4,6
mean_temperature_C,PC2,-0.010490081957008632,0.010490081957008632,1.1004181946475805e-4,7
Available_P_mgkg,PC3,-0.9797771957974323,0.9797771957974323,0.95996335340468,1
Soil_pH,PC3,0.10117798357103854,0.10117798357103854,0.010236984359501343,2
mean_temperature_C,PC3,0.09712607059869215,0.09712607059869215,0.009433473589942131,3
Available_K_mgkg,PC3,-0.08881740517860452,0.08881740517860452,0.007888531462660405,4
Organic_Carbon_percent,PC3,-0.08181168269800203,0.08181168269800203,0.006693151425878565,5
Total_N_percent,PC3,-0.07602750647757839,0.07602750647757839,0.005780181741198224,6
30day_cumulative_rainfall_mm,PC3,-0.0020794268778303576,0.0020794268778303576,4.324016140243309e-6,7
