Principal_Component,Eigenvalue,Variance_Proportion,Variance_Percentage,Cumulative_Proportion,Cumulative_Percentage,Variable,Loading,Absolute_Loading
PC1,3.0085615595566235,0.429794508508086,42.9794508508086,0.429794508508086,42.9794508508086,Soil_pH,-0.45826308245384384,0.45826308245384384
PC2,1.0007915232563407,0.14297021760804762,14.297021760804762,0.5727647261161336,57.27647261161336,Soil_pH,-0.030973426722307407,0.030973426722307407
PC3,0.9460633987223971,0.1351519141031986,13.51519141031986,0.7079166402193322,70.79166402193322,Soil_pH,0.10117798357103854,0.10117798357103854
PC4,0.7887940295105209,0.11268486135864503,11.268486135864503,0.8206015015779773,82.06015015779772,Soil_pH,0.1569959655621509,0.1569959655621509
PC5,0.48979758265904094,0.06997108323700535,6.997108323700535,0.8905725848149826,89.05725848149825,Soil_pH,-0.4692924956033402,0.4692924956033402
PC6,0.4398571523944042,0.062836736056343,6.2836736056343,0.9534093208713256,95.34093208713256,Soil_pH,0.7023626501674388,0.7023626501674388
PC7,0.32613475390072283,0.04659067912867435,4.659067912867435,0.9999999999999999,99.99999999999999,Soil_pH,0.20149972147585324,0.20149972147585324
PC1,3.0085615595566235,0.429794508508086,42.9794508508086,0.429794508508086,42.9794508508086,Total_N_percent,0.01450164289391955,0.01450164289391955
PC2,1.0007915232563407,0.14297021760804762,14.297021760804762,0.5727647261161336,57.27647261161336,Total_N_percent,-0.9951141691614764,0.9951141691614764
PC3,0.9460633987223971,0.1351519141031986,13.51519141031986,0.7079166402193322,70.79166402193322,Total_N_percent,-0.07602750647757839,0.07602750647757839
PC4,0.7887940295105209,0.11268486135864503,11.268486135864503,0.8206015015779773,82.06015015779772,Total_N_percent,-0.05883011076009513,0.05883011076009513
PC5,0.48979758265904094,0.06997108323700535,6.997108323700535,0.8905725848149826,89.05725848149825,Total_N_percent,-0.008076837077994439,0.008076837077994439
PC6,0.4398571523944042,0.062836736056343,6.2836736056343,0.9534093208713256,95.34093208713256,Total_N_percent,-0.014988762054474459,0.014988762054474459
PC7,0.32613475390072283,0.04659067912867435,4.659067912867435,0.9999999999999999,99.99999999999999,Total_N_percent,-0.0025358882248403534,0.0025358882248403534
PC1,3.0085615595566235,0.429794508508086,42.9794508508086,0.429794508508086,42.9794508508086,Available_P_mgkg,-0.16528934974894358,0.16528934974894358
PC2,1.0007915232563407,0.14297021760804762,14.297021760804762,0.5727647261161336,57.27647261161336,Available_P_mgkg,0.07546311432275875,0.07546311432275875
PC3,0.9460633987223971,0.1351519141031986,13.51519141031986,0.7079166402193322,70.79166402193322,Available_P_mgkg,-0.9797771957974323,0.9797771957974323
PC4,0.7887940295105209,0.11268486135864503,11.268486135864503,0.8206015015779773,82.06015015779772,Available_P_mgkg,-0.040150186422031185,0.040150186422031185
PC5,0.48979758265904094,0.06997108323700535,6.997108323700535,0.8905725848149826,89.05725848149825,Available_P_mgkg,-0.07343268993630701,0.07343268993630701
PC6,0.4398571523944042,0.062836736056343,6.2836736056343,0.9534093208713256,95.34093208713256,Available_P_mgkg,-0.002533357170464889,0.002533357170464889
PC7,0.32613475390072283,0.04659067912867435,4.659067912867435,0.9999999999999999,99.99999999999999,Available_P_mgkg,-0.00325276990329377,0.00325276990329377
PC1,3.0085615595566235,0.429794508508086,42.9794508508086,0.429794508508086,42.9794508508086,Available_K_mgkg,0.3091684667509133,0.3091684667509133
PC2,1.0007915232563407,0.14297021760804762,14.297021760804762,0.5727647261161336,57.27647261161336,Available_K_mgkg,-0.04328089502205936,0.04328089502205936
PC3,0.9460633987223971,0.1351519141031986,13.51519141031986,0.7079166402193322,70.79166402193322,Available_K_mgkg,-0.08881740517860452,0.08881740517860452
PC4,0.7887940295105209,0.11268486135864503,11.268486135864503,0.8206015015779773,82.06015015779772,Available_K_mgkg,0.9419085670756263,0.9419085670756263
PC5,0.48979758265904094,0.06997108323700535,6.997108323700535,0.8905725848149826,89.05725848149825,Available_K_mgkg,-0.06730385171689227,0.06730385171689227
PC6,0.4398571523944042,0.062836736056343,6.2836736056343,0.9534093208713256,95.34093208713256,Available_K_mgkg,-0.029967887850828843,0.029967887850828843
PC7,0.32613475390072283,0.04659067912867435,4.659067912867435,0.9999999999999999,99.99999999999999,Available_K_mgkg,-0.04509390581541748,0.04509390581541748
PC1,3.0085615595566235,0.429794508508086,42.9794508508086,0.429794508508086,42.9794508508086,Organic_Carbon_percent,0.49616584008212355,0.49616584008212355
PC2,1.0007915232563407,0.14297021760804762,14.297021760804762,0.5727647261161336,57.27647261161336,Organic_Carbon_percent,0.016503984041405583,0.016503984041405583
PC3,0.9460633987223971,0.1351519141031986,13.51519141031986,0.7079166402193322,70.79166402193322,Organic_Carbon_percent,-0.08181168269800203,0.08181168269800203
